,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,renovated_less_10yrs,has_basement,District,Distance_to_School_ft,mean_price
0,7129300520,10/13/2014,221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,0,0,SEATTLE,690.4047744,504976.9292
1,6414100192,12/9/2014,538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,0,1,SEATTLE,1299.115594,504976.9292
2,5631500400,2/25/2015,180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,0,0,NORTHSHORE,589.7937936,504976.9292
3,2487200875,12/9/2014,604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,0,1,SEATTLE,5546.486986,504976.9292
4,1954400510,2/18/2015,510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,0,0,LAKE WASHINGTON,3706.412371,504976.9292
5,7237550310,5/12/2014,1230000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,0,1,LAKE WASHINGTON,8496.600974,504976.9292
6,1321400060,6/27/2014,257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,0,0,FEDERAL WAY,3639.83928,504976.9292
7,2008000270,1/15/2015,291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,0,0,HIGHLINE,2114.112053,504976.9292
8,2414600126,4/15/2015,229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,0,1,HIGHLINE,1792.872048,504976.9292
9,3793500160,3/12/2015,323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,0,0,TAHOMA,2692.224374,504976.9292
10,1736800520,4/3/2015,662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,0,1,BELLEVUE,1002.388728,504976.9292
11,9212900260,5/27/2014,468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,0,1,SEATTLE,1272.616752,504976.9292
12,114101516,5/28/2014,310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,0,0,NORTHSHORE,2897.255962,504976.9292
13,6054650070,10/7/2014,400000,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,0,0,LAKE WASHINGTON,3503.33808,504976.9292
14,1175000570,3/12/2015,530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,0,0,SEATTLE,1354.938816,504976.9292
15,9297300055,1/24/2015,650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,0,1,SEATTLE,3242.607773,504976.9292
16,1875500060,7/31/2014,395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,0,0,RIVERVIEW,3714.859632,504976.9292
17,6865200140,5/29/2014,485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,0,0,SEATTLE,790.5777792,504976.9292
18,16000397,12/5/2014,189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,0,0,AUBURN,929.65884,504976.9292
19,7983200060,4/24/2015,230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,0,0,FEDERAL WAY,1281.914251,504976.9292
20,6300500875,5/14/2014,385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,0,1,SEATTLE,2349.828624,504976.9292
21,7137970340,7/3/2014,285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,0,0,AUBURN,1687.861666,504976.9292
22,8091400200,5/16/2014,252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,0,0,KENT,3482.098435,504976.9292
23,3814700200,11/20/2014,329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,0,0,KENT,1632.726058,504976.9292
