id,zipcode,lat,long,School_Name,School_Zipcode,District,School_Type,Distance to School(miles)
3542300060,98056,47.5093,-122.184,McKnight Middle School,98056,RENTON,School-Junior High/Middle,0.24692461
2222059065,98042,47.3777,-122.165,Martin Sortun Elementary School,98030,KENT,School-Elementary,0.28402869
7551300060,98107,47.675,-122.394,Adams Elementary School,98107,SEATTLE,School-Elementary,0.13553562
100600550,98023,47.3025,-122.37,Brigadoon Elementary School,98023,FEDERAL WAY,School-Elementary,0.42386741
3211100860,98059,47.4787,-122.158,Maplewood Heights Elementary School,98059,RENTON,School-Elementary,0.56982213
3456000310,98040,47.5378,-122.219,Islander Middle School,98040,MERCER ISLAND,School-Junior High/Middle,0.43539055
9526600140,98052,47.7073,-122.114,Norman Rockwell Elementary School,98052,LAKE WASHINGTON,School-Elementary,0.73880356
7465900060,98116,47.5733,-122.381,West Seattle High School,98116,SEATTLE,School-High,0.32221128
1222000055,98166,47.4604,-122.339,Sylvester Middle School,98166,HIGHLINE,School-Junior High/Middle,0.2338327
6300000550,98133,47.7067,-122.343,North Seattle College,98103,SEATTLE,School-College or University,0.69804639
2310030510,98038,47.354,-122.047,Tahoma High School,98038,TAHOMA,School-High,0.8878626
1025049114,98105,47.6647,-122.284,Laurelhurst Elementary School,98105,SEATTLE,School-Elementary,0.33441344
8677300550,98074,47.6143,-122.017,Inglewood Middle School,98074,LAKE WASHINGTON,School-Junior High/Middle,0.3015005
4014400292,98001,47.3185,-122.275,Evergreen Heights Elementary School,98001,AUBURN,School-Elementary,0.51573083
1102000196,98118,47.5458,-122.268,Graham Hill Elementary School,98118,SEATTLE,School-Elementary,0.02566836
257000138,98168,47.4889,-122.299,Hilltop Elementary School,98168,HIGHLINE,School-Elementary,0.28998643
46100204,98040,47.5673,-122.21,Mercer Island High School,98040,MERCER ISLAND,School-High,0.44989864
1909600046,98146,47.5133,-122.379,Arbor Heights Elementary School,98146,SEATTLE,School-Elementary,0.25671796
1250202145,98144,47.5884,-122.291,Thurgood Marshall Elementary School,98144,SEATTLE,School-Elementary,0.44866839
7611200125,98177,47.7145,-122.367,Christ the King School,98133,SEATTLE,School-Elementary,0.62805028
5611500140,98075,47.5836,-122.026,Sunny Hills Elementary School,98075,ISSAQUAH,School-Elementary,0.26007515
7138000260,98198,47.398,-122.299,Pacific Middle School,98198,HIGHLINE,School-Junior High/Middle,0.23605451
626059335,98011,47.7663,-122.215,Bothell High School,98011,NORTHSHORE,School-High,0.47856723
1922059282,98030,47.3758,-122.217,Kent-Meridian High School,98030,KENT,School-High,0.46894734
705700390,98038,47.3828,-122.023,Rock Creek Elementary School,98038,TAHOMA,School-Elementary,0.75528447
7454001200,98146,47.5123,-122.373,Explorer West Middle School,98146,HIGHLINE,School-Junior High/Middle,0.18242741
8682281200,98053,47.7076,-122.013,Laura Ingalls Wilder Elementary School,98077,LAKE WASHINGTON,School-Elementary,1.57104084
7972000200,98023,47.2922,-122.371,Brigadoon Elementary School,98023,FEDERAL WAY,School-Elementary,0.62656776
722059070,98031,47.4075,-122.214,Panther Lake Elementary School-Kent,98031,KENT,School-Elementary,0.46207459
7202340400,98053,47.6794,-122.034,Rosa Parks Elementary School,98053,LAKE WASHINGTON,School-Elementary,0.38612141
8096000060,98166,47.4497,-122.375,Gregory Heights Elementary School,98166,HIGHLINE,School-Elementary,1.06326977
2424000060,98059,47.5218,-122.164,Newcastle Elementary School,98059,ISSAQUAH,School-Elementary,0.33885403
9264902050,98023,47.3103,-122.339,Silver Lake Elementary School,98023,FEDERAL WAY,School-Elementary,0.61971084
943100260,98024,47.5687,-121.899,Fall City Elementary School,98024,SNOQUALMIE VALLEY,School-Elementary,0.14689835
3677400445,98108,47.5575,-122.303,Dearborn Park International Elementary School,98108,SEATTLE,School-Elementary,0.47810062
1762600320,98033,47.6489,-122.183,Cherry Crest Elementary School,98005,BELLEVUE,School-Elementary,0.73046723
4058000060,98010,47.3459,-121.95,Summit Trail Middle School,98051,TAHOMA,School-Junior High/Middle,2.99685021
7228500560,98122,47.6136,-122.303,Seattle World School,98122,SEATTLE,School-Alternative,0.29339131
326069104,98077,47.7641,-122.023,Timbercrest Jr High,98077,NORTHSHORE,School-Junior High/Middle,1.3129178
5152100060,98003,47.3376,-122.324,Nautilus K-8 School,98003,FEDERAL WAY,School-Elementary,0.31358701
3584000310,98003,47.3173,-122.319,Mirror Lake Elementary School,98003,FEDERAL WAY,School-Elementary,0.31845742
8150100045,98126,47.5308,-122.376,Northwest Montessori - West Seattle,98126,SEATTLE,School-Elementary,0.3615797
1868901275,98115,47.6727,-122.299,Assumption St. Bridget School,98115,SEATTLE,School-Elementary,0.32471858
6131600075,98002,47.3221,-122.216,Dick Scobee Elementary School,98002,AUBURN,School-Elementary,0.10871349
